id,日時,予測値_PV,PV発電量,買電量,予測値_demand,battery状態,SOC,充電可能量,放電可能量,残電力量,SOC_増減,充電量可能量_増減,放電可能量_増減,残電力量_増減,充放電指示量,EQ動作状態,沸き上げ自動設定,沸き上げ中状態,ｴﾈﾙｷﾞｰｼﾌﾄ参加状態,沸き上げ開始基準時刻,ｴﾈﾙｷﾞｰｼﾌﾄ参回数,昼間沸き上げｼﾌﾄ時刻1,EQ指示時刻,ｴｱｺﾝ状態,ｴｱｺﾝmode,ｴｱｺﾝ設定温度,気温,湿度,温度計_残電池
1,2021-12-05 00:30:00,,,0.9097,,,,,,,,,,,,,,,,,,,,,,,,,
5,2021-12-05 01:00:00,,,0.9665,,,,,,,,,,,,,,,,,,,,,,,,,
6,2021-12-05 01:30:00,,,0.9355,,,,,,,,,,,,,,,,,,,,,,,,,
7,2021-12-05 02:00:00,,,1.01245,,,,,,,,,,,,,,,,,,,,,,,,,
8,2021-12-05 02:30:00,,,1.11295,,,,,,,,,,,,,,,,,,,,,,,,,
9,2021-12-05 03:00:00,,,1.06525,,,,,,,,,,,,,,,,,,,,,,,,,
10,2021-12-05 03:30:00,,,1.0727,,,,,,,,,,,,,,,,,,,,,,,,,
11,2021-12-05 04:00:00,,,1.02605,,,,,,,,,,,,,,,,,,,,,,,,,
12,2021-12-05 04:30:00,,,0.9784,,,,,,,,,,,,,,,,,,,,,,,,,
13,2021-12-05 05:00:00,,,1.0245,,,,,,,,,,,,,,,,,,,,,,,,,
14,2021-12-05 05:30:00,,,1.0172,,,,,,,,,,,,,,,,,,,,,,,,,
15,2021-12-05 06:00:00,,,1.0435,,,,,,,,,,,,,,,,,,,,,,,,,
16,2021-12-05 06:30:00,,,1.0345,,,,,,,,,,,,,,,,,,,,,,,,,
17,2021-12-05 07:00:00,,,0.80715,,,,,,,,,,,,,,,,,,,,,,,,,
18,2021-12-05 07:30:00,,,0.4775,,,,,,,,,,,,,,,,,,,,,,,,,
19,2021-12-05 08:00:00,,,0.0604,,,,,,,,,,,,,,,,,,,,,,,,,
20,2021-12-05 08:30:00,,,-0.2832,,,,,,,,,,,,,,,,,,,,,,,,,
21,2021-12-05 09:00:00,,,-0.6346,,,,,,,,,,,,,,,,,,,,,,,,,
22,2021-12-05 09:30:00,,,-0.38455,,,,,,,,,,,,,,,,,,,,,,,,,
23,2021-12-05 10:00:00,,,-1.25035,,,,,,,,,,,,,,,,,,,,,,,,,
24,2021-12-05 10:30:00,,,-1.014,,,,,,,,,,,,,,,,,,,,,,,,,
25,2021-12-05 11:00:00,,,-1.34195,,,,,,,,,,,,,,,,,,,,,,,,,
26,2021-12-05 11:30:00,,,-1.4474,,,,,,,,,,,,,,,,,,,,,,,,,
27,2021-12-05 12:00:00,,,-0.556,,,,,,,,,,,,,,,,,,,,,,,,,
28,2021-12-05 12:30:00,,,-0.254,,,,,,,,,,,,,,,,,,,,,,,,,
29,2021-12-05 13:00:00,,,-0.0639,,,,,,,,,,,,,,,,,,,,,,,,,
30,2021-12-05 13:30:00,,,0.35795,,,,,,,,,,,,,,,,,,,,,,,,,
31,2021-12-05 14:00:00,,,0.25025,,,,,,,,,,,,,,,,,,,,,,,,,
32,2021-12-05 14:30:00,,,0.2318,,,,,,,,,,,,,,,,,,,,,,,,,
33,2021-12-05 15:00:00,,,0.62845,,,,,,,,,,,,,,,,,,,,,,,,,
34,2021-12-05 15:30:00,,,0.613,,,,,,,,,,,,,,,,,,,,,,,,,
35,2021-12-05 16:00:00,,,0.8479,,,,,,,,,,,,,,,,,,,,,,,,,
36,2021-12-05 16:30:00,,,1.10595,,,,,,,,,,,,,,,,,,,,,,,,,
37,2021-12-05 17:00:00,,,0.9071,,,,,,,,,,,,,,,,,,,,,,,,,
38,2021-12-05 17:30:00,,,0.8194,,,,,,,,,,,,,,,,,,,,,,,,,
39,2021-12-05 18:00:00,,,0.8204,,,,,,,,,,,,,,,,,,,,,,,,,
40,2021-12-05 18:30:00,,,0.7721,,,,,,,,,,,,,,,,,,,,,,,,,
41,2021-12-05 19:00:00,,,0.83635,,,,,,,,,,,,,,,,,,,,,,,,,
42,2021-12-05 19:30:00,,,0.9456,,,,,,,,,,,,,,,,,,,,,,,,,
43,2021-12-05 20:00:00,,,1.20795,,,,,,,,,,,,,,,,,,,,,,,,,
44,2021-12-05 20:30:00,,,0.9706,,,,,,,,,,,,,,,,,,,,,,,,,
45,2021-12-05 21:00:00,,,0.8728,,,,,,,,,,,,,,,,,,,,,,,,,
46,2021-12-05 21:30:00,,,0.91745,,,,,,,,,,,,,,,,,,,,,,,,,
47,2021-12-05 22:00:00,,,1.0518,,,,,,,,,,,,,,,,,,,,,,,,,
48,2021-12-05 22:30:00,,,1.16995,,,,,,,,,,,,,,,,,,,,,,,,,
49,2021-12-05 23:00:00,,,0.95965,,,,,,,,,,,,,,,,,,,,,,,,,
50,2021-12-05 23:30:00,,,0.8319,,,,,,,,,,,,,,,,,,,,,,,,,
51,2021-12-06 00:00:00,,,0.86735,,,,,,,,,,,,,,,,,,,,,,,,,
52,2021-12-06 00:30:00,,,0.8714,,,,,,,,,,,,,,,,,,,,,,,,,
53,2021-12-06 01:00:00,,,0.91085,,,,,,,,,,,,,,,,,,,,,,,,,
54,2021-12-06 01:30:00,,,0.9749,,,,,,,,,,,,,,,,,,,,,,,,,
55,2021-12-06 02:00:00,,,0.9299,,,,,,,,,,,,,,,,,,,,,,,,,
56,2021-12-06 02:30:00,,,1.13625,,,,,,,,,,,,,,,,,,,,,,,,,
57,2021-12-06 03:00:00,,,0.94865,,,,,,,,,,,,,,,,,,,,,,,,,
58,2021-12-06 03:30:00,,,0.89765,,,,,,,,,,,,,,,,,,,,,,,,,
59,2021-12-06 04:00:00,,,0.88915,,,,,,,,,,,,,,,,,,,,,,,,,
60,2021-12-06 04:30:00,,,0.8717,,,,,,,,,,,,,,,,,,,,,,,,,
61,2021-12-06 05:00:00,,,0.8944,,,,,,,,,,,,,,,,,,,,,,,,,
62,2021-12-06 05:30:00,,,0.85715,,,,,,,,,,,,,,,,,,,,,,,,,
63,2021-12-06 06:00:00,,,0.7375,,,,,,,,,,,,,,,,,,,,,,,,,
64,2021-12-06 06:30:00,,,0.7693,,,,,,,,,,,,,,,,,,,,,,,,,
65,2021-12-06 07:00:00,,,0.8669,,,,,,,,,,,,,,,,,,,,,,,,,
66,2021-12-06 07:30:00,,,0.86225,,,,,,,,,,,,,,,,,,,,,,,,,
67,2021-12-06 08:00:00,,,0.308,,,,,,,,,,,,,,,,,,,,,,,,,
68,2021-12-06 08:30:00,,,0.6419,,,,,,,,,,,,,,,,,,,,,,,,,
69,2021-12-06 09:00:00,0.4,,0.81775,,,,,,,,,,,,,,,,,,,,,,,,,
71,2021-12-06 09:30:00,0.465,,0.7626,,,,,,,,,,,,,,,,,,,,,,,,,
72,2021-12-06 10:00:00,0.595,,0.5659,,,,,,,,,,,,,,,,,,,,,,,,,
73,2021-12-06 10:30:00,0.685,,0.57755,,,,,,,,,,,,,,,,,,,,,,,,,
74,2021-12-06 11:00:00,0.865,,0.60965,,,,,,,,,,,,,,,,,,,,,,,,,
75,2021-12-06 11:30:00,0.885,,0.2848,,,,,,,,,,,,,,,,,,,,,,,,,
