id,日時,予測値_PV,PV発電量,買電量,予測値_demand,battery状態,SOC,充電可能量,放電可能量,残電力量,SOC_増減,充電量可能量_増減,放電可能量_増減,残電力量_増減,充放電指示量,EQ動作状態,沸き上げ自動設定,沸き上げ中状態,ｴﾈﾙｷﾞｰｼﾌﾄ参加状態,沸き上げ開始基準時刻,ｴﾈﾙｷﾞｰｼﾌﾄ参回数,昼間沸き上げｼﾌﾄ時刻1,EQ指示時刻,ｴｱｺﾝ状態,ｴｱｺﾝmode,ｴｱｺﾝ設定温度,気温,湿度,温度計_残電池
1,2021-12-05 00:30:00,,,0.18805,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
5,2021-12-05 01:00:00,,,0.16275,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
6,2021-12-05 01:30:00,,,0.1451,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
7,2021-12-05 02:00:00,,,0.1204,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
8,2021-12-05 02:30:00,,,0.1413,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
9,2021-12-05 03:00:00,,,0.1184,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
10,2021-12-05 03:30:00,,,0.11065,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
11,2021-12-05 04:00:00,,,0.1135,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
12,2021-12-05 04:30:00,,,0.11045,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
13,2021-12-05 05:00:00,,,0.11455,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
14,2021-12-05 05:30:00,,,0.1103,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
15,2021-12-05 06:00:00,,,0.1016,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
16,2021-12-05 06:30:00,,,0.1071,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
17,2021-12-05 07:00:00,,,0.1641,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
18,2021-12-05 07:30:00,,,0.2476,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
19,2021-12-05 08:00:00,,,0.42565,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
20,2021-12-05 08:30:00,,,0.2852,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
21,2021-12-05 09:00:00,,,0.12875,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
22,2021-12-05 09:30:00,,,0.10315,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
23,2021-12-05 10:00:00,,,0.1082,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
24,2021-12-05 10:30:00,,,0.1186,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
25,2021-12-05 11:00:00,,,0.14355,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
26,2021-12-05 11:30:00,,,0.14395,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
27,2021-12-05 12:00:00,,,0.2091,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
28,2021-12-05 12:30:00,,,0.1945,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
29,2021-12-05 13:00:00,,,0.2018,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
30,2021-12-05 13:30:00,,,0.3522,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
31,2021-12-05 14:00:00,,,0.2574,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
32,2021-12-05 14:30:00,,,0.20135,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
33,2021-12-05 15:00:00,,,0.12435,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
34,2021-12-05 15:30:00,,,0.1214,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
35,2021-12-05 16:00:00,,,0.09015,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
36,2021-12-05 16:30:00,,,0.09965,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
37,2021-12-05 17:00:00,,,0.0964,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
38,2021-12-05 17:30:00,,,0.10235,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
39,2021-12-05 18:00:00,,,0.0932,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
40,2021-12-05 18:30:00,,,0.2596,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
41,2021-12-05 19:00:00,,,0.25235,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
42,2021-12-05 19:30:00,,,0.2955,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
43,2021-12-05 20:00:00,,,0.2747,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
44,2021-12-05 20:30:00,,,0.3322,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
45,2021-12-05 21:00:00,,,0.3583,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
46,2021-12-05 21:30:00,,,0.30885,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
47,2021-12-05 22:00:00,,,0.3603,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
48,2021-12-05 22:30:00,,,0.4543,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
49,2021-12-05 23:00:00,,,0.44625,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
50,2021-12-05 23:30:00,,,0.36205,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
51,2021-12-06 00:00:00,,,0.3219,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
52,2021-12-06 00:30:00,,,0.17195,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
53,2021-12-06 01:00:00,,,0.155,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
54,2021-12-06 01:30:00,,,0.12605,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
55,2021-12-06 02:00:00,,,0.1128,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
56,2021-12-06 02:30:00,,,0.10445,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
57,2021-12-06 03:00:00,,,0.10465,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
58,2021-12-06 03:30:00,,,0.104,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
59,2021-12-06 04:00:00,,,0.10535,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
60,2021-12-06 04:30:00,,,0.0964,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
61,2021-12-06 05:00:00,,,0.10315,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
62,2021-12-06 05:30:00,,,0.0994,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
63,2021-12-06 06:00:00,,,0.09195,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
64,2021-12-06 06:30:00,,,0.3899,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
65,2021-12-06 07:00:00,,,0.34815,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
66,2021-12-06 07:30:00,,,0.31625,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
67,2021-12-06 08:00:00,,,0.25925,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
68,2021-12-06 08:30:00,,,0.24775,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
69,2021-12-06 09:00:00,,,0.2623,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
70,2021-12-06 09:30:00,,,0.1728,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
71,2021-12-06 10:00:00,,,0.1604,,,,,,,,,,,,,,,,,,,,OFF,Automatic,253,,,
