id,日時,予測値_PV,PV発電量,買電量,予測値_demand,battery状態,SOC,充電可能量,放電可能量,残電力量,SOC_増減,充電量可能量_増減,放電可能量_増減,残電力量_増減,充放電指示量,EQ動作状態,沸き上げ自動設定,沸き上げ中状態,ｴﾈﾙｷﾞｰｼﾌﾄ参加状態,沸き上げ開始基準時刻,ｴﾈﾙｷﾞｰｼﾌﾄ参回数,昼間沸き上げｼﾌﾄ時刻1,EQ指示時刻,ｴｱｺﾝ状態,ｴｱｺﾝmode,ｴｱｺﾝ設定温度,気温,湿度,温度計_残電池
1,2021-12-06 09:00:00,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021-12-06 09:30:00,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2021-12-06 10:00:00,0.285,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021-12-06 10:30:00,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2021-12-06 11:00:00,0.355,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2021-12-06 11:30:00,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2021-12-06 12:00:00,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2021-12-06 12:30:00,0.415,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2021-12-06 13:00:00,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2021-12-06 13:30:00,0.355,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2021-12-06 14:00:00,0.285,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2021-12-06 14:30:00,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2021-12-06 15:00:00,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2021-12-06 15:30:00,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2021-12-06 16:00:00,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2021-12-06 16:30:00,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2021-12-06 17:00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2021-12-06 17:30:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2021-12-06 18:00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2021-12-06 18:30:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2021-12-06 19:00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2021-12-06 19:30:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2021-12-06 20:00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2021-12-06 20:30:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2021-12-06 21:00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
